song,artist,avg_popularity,total_days,reentry_count,momentum_score,momentum_score_final,album_type,is_explicit,Momentum_Level
Do or Die,Lim Young Woong,0.6587237324079429,0.7034358047016275,0.22580645161290322,219.85384615384615,0.5855538979370404,single,False,Medium
Don't Look Back In Anger - Remastered,Oasis,0.7769423558897243,0.0018083182640144665,0.03225806451612903,49.35,0.3954652863272923,album,False,Low
Don't Look Back in Anger - Remastered,Oasis,0.737844611528822,0.007233273056057867,0.06451612903225806,58.3,0.38399551348767996,album,False,Low
Dopamine - GISELLE Solo,aespa,0.631578947368421,0.0,0.0,31.8,0.3157894736842105,single,False,Low
Dope As (Interlude),Beenzino,0.41604010025062654,0.0018083182640144665,0.0,21.35,0.20856254560451762,album,True,Low
Down Bad,Taylor Swift,0.838095238095238,0.007233273056057867,0.0,43.3,0.4212176009644364,album,True,Medium
Drama,aespa,0.8444325098460437,0.40325497287522605,0.25806451612903225,189.31607142857143,0.5948056500113962,album,False,Medium
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,0.8500132318373573,0.28933092224231466,0.12903225806451613,130.6944099378882,0.5376123442042763,single,False,Medium
Drowning,WOODZ,0.6043680630146795,0.0108499095840868,0.06451612903225806,52.24285714285714,0.31834223018901736,single,False,Low
EASY,LE SSERAFIM,0.845233651504648,0.25316455696202533,0.3225806451612903,184.4560283687943,0.5630823218731897,single,False,Medium
ENGLAND,YANGHONGWON,0.42105263157894735,0.0054249547920434,0.0,22.2,0.21215380222708669,album,False,Low
ETA,NewJeans,0.8361197110423116,0.6130198915009041,0.5806451612903225,323.7014705882353,0.7180948552294916,single,False,Medium
"Earth, Wind & Fire",BOYNEXTDOOR,0.7069674185463658,0.0433996383363472,0.0,42.76,0.36650360077408706,album,False,Low
Either Way,IVE,0.7706107373697401,0.06690777576853527,0.0,49.834210526315786,0.4053777014154306,single,False,Medium
Elevator,Lim Young Woong,0.5547201336675021,0.009041591320072333,0.0967741935483871,59.46666666666667,0.29942738293945015,single,False,Low
Espresso,Sabrina Carpenter,0.9669059011164274,0.31645569620253167,0.06451612903225806,121.02443181818182,0.5912928852254249,single,True,Medium
Espresso,Sabrina Carpenter,0.9669059011164274,0.31645569620253167,0.06451612903225806,121.02443181818182,0.5912928852254249,album,True,Medium
"Eve, Psyche & The Bluebeards wife",LE SSERAFIM,0.8424113719413036,0.23508137432188064,0.0,81.31526717557252,0.491730098267216,album,False,Medium
Even for a moment,Sung Si Kyung & Naul,0.0,0.0,0.0,0.3,0.0,single,False,Low
Event Horizon,Younha,0.6416040100250626,0.0,0.0,32.3,0.3208020050125313,album,False,Low
Every Moment With You,JAESSBEE,0.46115288220551376,0.012658227848101266,0.0,25.4,0.23437390945718725,single,False,Low
FE!N,Travis Scott,0.5714285714285714,0.0036166365280289334,0.0,29.4,0.2867992766726944,album,True,Low
FE!N (feat. Playboi Carti),Travis Scott,0.9022556390977443,0.0036166365280289334,0.0,45.9,0.45221281050728085,album,True,Medium
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,0.6906154274575327,0.014466546112115734,0.03225806451612903,47.144444444444446,0.3560992904656269,album,True,Low
FLOWER,JISOO,0.8548644338118021,0.07775768535262206,0.0967741935483871,85.83636363636363,0.4701143612213651,single,False,Medium
FOREVER,BABYMONSTER,0.5843179377013963,0.0108499095840868,0.0,31.242857142857144,0.29541394172592417,single,False,Low
FRI(END)S,V,0.900501253132832,0.2151898734177215,0.1935483870967742,140.9125,0.5535172660110873,single,False,Medium
FRI(END)S (Instrumental),V,0.7255639097744361,0.012658227848101266,0.0,38.5875,0.36657942324164844,single,False,Low
FRI(END)S (Slowed Down),V,0.7180451127819548,0.012658227848101266,0.0,38.2125,0.3628200247454078,single,False,Low
FRI(END)S (Sped Up),V,0.7205513784461153,0.012658227848101266,0.0,38.3375,0.36407315757748804,single,False,Low
FRIED,¥$ & Kanye West & Ty Dolla $ign,0.47451963241436923,0.0036166365280289334,0.0,24.566666666666666,0.2383448071655933,album,True,Low
FUK SUMN,Kanye West & Ty Dolla $ign,0.8020050125313283,0.0,0.0,40.3,0.40100250626566414,album,True,Medium
Face-off,Jimin,0.7896094917095694,0.7323688969258589,0.3225806451612903,261.1817733990148,0.6790315439648005,single,True,Medium
Fact Check,NCT 127,0.6093010303536619,0.014466546112115734,0.03225806451612903,43.08888888888889,0.3154420919136915,album,False,Low
Falling,Jin,0.6033264980633402,0.018083182640144666,0.0,33.39090909090909,0.3070882038237135,single,False,Low
Falling,Jin,0.6033264980633402,0.018083182640144666,0.0,33.39090909090909,0.3070882038237135,album,False,Low
Fast Forward,JEON SOMI,0.7336762960031659,0.13562386980108498,0.0,59.3921052631579,0.4075253089419084,single,False,Medium
Fate,(G)I-DLE,0.7262032632601912,0.17540687160940324,0.12903225806451613,105.61938775510204,0.4415301447258198,album,False,Medium
Father,Lim Young Woong,0.5886414148578994,0.18987341772151897,0.16129032258064516,111.15849056603773,0.38354079726153445,album,False,Low
Fighting (Feat. Lee Young Ji),BSS,0.7819548872180451,0.030741410488245934,0.03225806451612903,54.4,0.4066514796587221,single,False,Medium
Filter,BTS,0.7461510920157537,0.0108499095840868,0.0967741935483871,69.31428571428572,0.3956853575927803,album,False,Low
"Flights, Not Feelings",aespa,0.531328320802005,0.0018083182640144665,0.0,27.1,0.2662066558802068,single,False,Low
Flooded The Face,Lil Uzi Vert,0.7919799498746867,0.0,0.0,39.8,0.39598997493734334,album,True,Low
Flowers,aespa,0.5112781954887218,0.0,0.0,25.8,0.2556390977443609,single,False,Low
For Us,V,0.8449292244696247,0.12658227848101264,0.03225806451612903,73.44084507042254,0.46689090868234195,single,False,Medium
Fortnight (feat. Post Malone),Taylor Swift,0.9421227487322958,0.0759493670886076,0.06451612903225806,79.88837209302326,0.5067494102991819,album,False,Medium
Frys Dream,AKMU,0.6234454059677496,0.09403254972875226,0.06451612903225806,66.9943396226415,0.35283569370895207,single,False,Low
G.O.A.T,TAEMIN,0.5213032581453634,0.0,0.0,26.3,0.2606516290726817,single,False,Low
GOD'S COUNTRY,Travis Scott,0.0,0.0,0.0,0.3,0.0,album,True,Low
GODS,League of Legends & NewJeans,0.859445912077491,0.1989150090415913,0.06451612903225806,96.16486486486485,0.5023006845576745,single,False,Medium
GOSLOW,YANGHONGWON,0.404344193817878,0.0036166365280289334,0.0,21.066666666666666,0.2032570878673477,album,False,Low
Get A Guitar,RIIZE,0.6973518452215193,0.3399638336347197,0.25806451612903225,171.48042328042328,0.502277975926982,single,False,Medium
Get The Hell Out,DAY6,0.5213032581453634,0.0,0.0,26.3,0.2606516290726817,album,False,Low
Get Up,NewJeans,0.8584619443345205,0.06690777576853527,0.0,54.21578947368421,0.44930330489782083,single,False,Medium
Girls Never Die,tripleS,0.6862809196905306,0.081374321880651,0.03225806451612903,58.028260869565216,0.37400436931268644,album,False,Low
God of Music,SEVENTEEN,0.6425153793574846,0.018083182640144666,0.0,35.345454545454544,0.3266826444707857,album,False,Low
Gonna Be A Rock,BOYNEXTDOOR,0.5513784461152882,0.0,0.0,27.8,0.2756892230576441,album,False,Low
Good Bones,LE SSERAFIM,0.6666666666666666,0.0018083182640144665,0.0,33.85,0.33387582881253763,single,False,Low
Grain of Sand,Lim Young Woong,0.6531833459618036,0.9312839059674503,0.22580645161290322,257.37751937984495,0.6511381350937175,single,False,Medium
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,0.8859649122807017,0.012658227848101266,0.03225806451612903,56.5875,0.4532315373980071,single,False,Medium
Gym,Beenzino,0.39097744360902253,0.0018083182640144665,0.0,20.1,0.19603121728371561,album,True,Low
HAPPY,DAY6,0.6238422142312302,0.16455696202531644,0.03225806451612903,68.7141304347826,0.36773980862643585,album,False,Low
HAPPY,DAY6,0.6238422142312302,0.16455696202531644,0.03225806451612903,68.7141304347826,0.36773980862643585,single,False,Low
HARD,SHINee,0.6666666666666666,0.0054249547920434,0.0,34.45,0.3349608197709463,album,False,Low
HELIOT EMIL,CHANGMO,0.45112781954887216,0.0,0.0,22.8,0.22556390977443608,single,False,Low
HERO,Lim Young Woong,0.5866919551130078,0.1989150090415913,0.12903225806451613,102.56126126126125,0.3788269318818845,single,False,Low
HEYA,IVE,0.618760014791076,0.10849909584086799,0.0,49.160655737704914,0.3419297361477984,single,False,Low
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON & TAEYANG & DAESUNG,0.6390977443609023,0.0054249547920434,0.0,33.075,0.32117635861806415,single,False,Low
HYAENA,Travis Scott,0.42606516290726815,0.0018083182640144665,0.0,21.85,0.21357507693283842,album,True,Low
Haegeum,Agust D,0.8709693697330575,0.26763110307414106,0.16129032258064516,138.13959731543625,0.5480320803049,album,False,Medium
Hate You,Jung Kook,0.8362633201709309,0.24954792043399635,0.1935483870967742,143.40863309352517,0.5317057136350192,album,False,Medium
Heart on the Window (with WENDY),Jin,0.6160856687172476,0.018083182640144666,0.0,34.027272727272724,0.3134677891506672,single,False,Low
Heart on the Window (with WENDY),Jin,0.6160856687172476,0.018083182640144666,0.0,34.027272727272724,0.3134677891506672,album,False,Low
Heavy Is the Crown,Linkin Park,0.7819548872180451,0.0,0.0,39.3,0.39097744360902253,single,False,Low
Hell yea,Leellamarz & YANGHONGWON,0.38095238095238093,0.0,0.0,19.3,0.19047619047619047,single,False,Low
Here With Me,d4vd,0.7915789473684209,0.08860759493670886,0.0,54.48,0.4223717521652231,single,False,Medium
High Note,KingLee & Code G,0.6516290726817042,0.0018083182640144665,0.0,33.1,0.32635703182005643,single,True,Low
Holssi,IU,0.6804107041798043,0.054249547920433995,0.06451612903225806,63.23548387096774,0.36938344227248393,single,False,Low
Home,Lim Young Woong,0.6279048406356204,0.3435804701627486,0.0967741935483871,118.61675392670156,0.43638140007631215,single,False,Medium
Honestly,RIIZE,0.5112781954887218,0.0,0.0,25.8,0.2556390977443609,single,False,Low
Horizon,TAEMIN,0.5363408521303258,0.0018083182640144665,0.0,27.35,0.2687129215443672,single,False,Low
How Sweet,NewJeans,0.8122480113326794,0.3309222423146474,0.06451612903225806,115.7108695652174,0.5183039041671855,single,False,Medium
How Sweet (Instrumental),NewJeans,0.6095238095238095,0.007233273056057867,0.0,31.9,0.3069318866787221,single,False,Low
